[Map]
001,H     ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### 002,He  
003,Li    004,Be    ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### 005,B     006,C     007,N     008,O     009,F     010,Ne
011,Na    012,Mg    ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### 013,Al    014,Si    015,P     016,S     017,Cl    018,Ar 
019,K     020,Ca    021,Sc    022,Ti    023,V     024,Cr    025,Mn    026,Fe    027,Co    028,Ni    029,Cu    030,Zn    031,Ga    032,Ge    033,As    034,Se    035,Br    036,Kr
037,Rb    038,Sr    039,Y     040,Zr    041,Nb    042,Mo    043,Tc    044,Ru    045,Rh    046,Pd    047,Ag    048,Cd    049,In    050,Sn    051,Sb    052,Te    053,I     054,Xe
055,Cs    056,Ba    ######### 072,Hf    073,Ta    074,W     075,Re    076,Os    077,Ir    078,Pt    079,Au    080,Hg    081,Tl    082,Pb    083,Bi    084,Po    085,At    086,Rn
087,Fr    088,Ra    ######### 104,Rf    105,Db    106,Sg    107,Bh    108,Hs    109,Mt    110,Uun   111,Uuu   112,Uub   113,()    114,(114) 115,()    116,(116) 117,()    118,()
######### ######### 057,La    058,Ce    059,Pr    060,Nd    061,Pm    062,Sm    063,Eu    064,Gd    065,Tb    066,Dy    067,Ho    068,Er    069,Tm    070,Yb    071,Lu    #########
######### ######### 089,Ac    090,Th    091,Pa    092,U     093,Np    094,Pu    095,Am    096,Cm    097,Bk    098,Cf    099,Es    100,Fm    101,Md    102,No    103,Lr    #########

[Data]
050,Sn,Tin,118.69,(2@4),232,2270,7.29,1.8,1.41,American Scientist,,,tin wares; a box or container made of tin@ cans@ super conductive magnets.
051,Sb,Antimony,121.75,+-3.5,630.7,1750,6.62,1.9,1.41,American Scientist,,1450,batteries@ bearings@ tracer bullets.
052,Te,Tellurium,127.60,(-2@4@6),449.5,989.8,6.24,2.1,1.37,F.M. Von Reichenstein,Poland,1782,vulcanization of rubber ceramics@ ingredient blazing caps.
053,I,Iodine,126.9045,(+-1@5@7),113.50,184.35,4.94,2.5,1.33,Bernard Courtois,France,1811,antiseptic@ photography@ treatment of thyroid-gland disorders.
054,Xe,Xenon,131.30,0,-112,-107,3.05,-,-,William Ramsay and M.W. Traverse,Britain,1898,Sun lamps@ discharge lamps@ UV lamps.
055,Cs,Cesium,132.9054,+1,28.40,669.3,1.87,0.7,2.35,G. Kirchoff and R. Bunsen,Germany,1860,photoelectric cells@ atomic clocks.
056,Ba,Barium,137.33,+2,725,1640,3.5,0.9,1.98,Sir Humpry Davy,Britain,1808,X-rays examinations@ spark plugs@ rat poison@ sonar detector
057,La,Lanthanum,138.9055,+3,920,3454,6.16,1.1,1.69,Carl G. Mosander,Sweden,1839,crude petroleum@ quality lenses@ lighter flints.
058,Ce,Cerium,140.12,(3@4),798,3257,6.77,1.1,1.65,W. Von Hisinger and J. Berzellius,Sweden,1803,glass manufacturing@ pyphoric allows@ incandescent mantles.
059,Pr,Praseodymium,140.9077,+3,931,3212,6.77,1.1,1.65,Carl Auer Von Welsback,Austria,1885,colored glass for astronomical lenses@ carbon arc-lamps.
060,Nd,Neodymium,144.24,+3,1010,3127,7.00,1.2,1.64,Carl Auer Von Welsback,Austria,1885,colored lasers@ electronics.
061,Pm,Promethium,(145),+3,1080,2460,7.22,-,1.63,J.A. Marinsky@ L.E. Glendenin,USA,1945,nuclear powered batteries; x-rays and beta source for gauges.
062,Sm,Samarium,150.4,2.3,1072,1778,7.54,1.2,1.66,Lecoq de Boisbaudran,France,1879,Optical glass@ pyprophoric alloys@ powerful permanent magnets.
063,Eu,Europium,151.965,(2@3),822,1597,5.24,-,1.85,Eugene Demarcay,France,1896,Laser materials@ neutron absorber reactors@ pyrophoric@ alloys.
064,Gd,Gadolinium,157.25,+3,1311,3233,7.89,1.1,1.61,Jean Marignac,Switzerland,1880,control rods in some nuclear reactors@ phosphorus for TV tubes@ ferrites.
065,Tb,Terbium,158.9254,+3,1360,3041,8.25,1.2,1.59,Carl G. Mosander,Sweden,1843,Laser material,crystal stabilizers semi-conductors.
066,Dy,Dysprosium,162.50,+3,1409,2335,8.56,-,1.59,Paul Emile Leoq de Boisbaudran,France,1886,metallurgy@ alloys@ control devices for nuclear reactors.
067,Ho,Holmium,164.9304,+3,1470,2720,8.78,1.2,1.58,J.L. Soret,Switzerland,1878,spectroscope,monazite(phosphate)@ forms salt with oxygen.
068,Er,Erbium,167.26,+3,1522,2510,9.04,1.2,1.57,Carl G. Mosander,Sweden,1843,pink colorants for glasses@ specialized alloys@ monazite (phosphate).
069,Tm,Thulium,168.9342,+3,1545,1727,9.32,1.2,1.56,Per T. Cleve,Sweden,1879,portable x-ray machines,ceramic magnetic material@ energy source.
070,Yb,Ytterbium,173.04,(2@3),824,1193,6.97,1.1,1.70,Jean de Marignac,Switzerland,1907,stainless steel@ monazite (phosphate).
071,Lu,Lutetium,174.967,+3,1656,3315,9.84,1.2,1.56,Georges Urbain,France,1907,pertoleum cracking,polymerization catalyst@ monazite (phosphate)
072,Hf,Hafnium,178.49,+4,2227,4602,13.1,1.3,1.44,Dirk Coster and George de Hevesey,Denmark,1923,control rods in nuclear reactors@ ores@ neutron absorber.
073,Ta,Tantalum,180.948,+5,2296,5425,16.63,1.5,1.34,Anders Gustav Ekeberg,Sweden,1802,capacitors@ vacuum furnace parts@ surgical dental apparatus.
074,W,Tungsten,183.85,+6,3410,5660,19.3,1.7,1.30,Fausto and Juan Jose de Elhuyar,Spain,1783,lamp filaments@ high speed steels@ special alloys and lubricant.
075,Re,Rhenium,186.2,(1@4@6),3180,5627,21.04,1.9,1.28,Noddack@ Tacke and Berg,Germany,1925,thermocouples@ photoflash lamps@ catalysts.
076,Os,Osmium,190.2,(3@4),3045,5027,22.5,2.2,1.26,Smithson Tennant,Britain,1804,fountain pen point@ hard alloys@ powerful oxidizing agent.
077,Ir,Iridum,192.22,(3@4),2410,4130,22.42,2.2,1.26,Eugene Demarcay,France,1896,Laser materials@ neutron absorber reactors@ pyrophoric alloys.
078,Pt,Platinum,195.09,(2@4),1772,3827,21.37,2.2,1.29,Antonio de Ulloa,South America 1735,crucibles@ wires@ jewelries@ thermocouples@ electrodes.
079,Au,Gold,196.9665,(1@3),1064,3080,19.32,2.4,1.34,Ancient,,,jewelries@ coins@ dental wires@ radio theraphy@ electronic devices
080,Hg,Mercury,200.59,1.2,-38.87,356.6,13.55,1.9,1.44,Ancient,,,thermometers@ barometers@ mercury vapor lamps and mercury device
081,Tl,Thalium,204.37,(1@3),303.5,1457,11.85,1.8,1.55,Sir William Crookes,Briatin,1861,detectors@ specialized glasses@ iron pyrites.
082,Pb,Lead,207.2,(2@4),327.5,1740,11.4,1.8,1.54,Ancient,,,car/jeepney batteries@ drain pipes@ cable and alloys like solder and pigments
083,Bi,Bismuth,208.9804,(3@5),271.3,1560,9.78,1.9,1.52,Claude Geoffrey,France,1753,acrylic fibers@ castings (metals), electrical fuses
084,Po,Polonium,(209),(2@4),254,962,9.4,2.0,1.53,Pierrie and Marie Curie,France,1898,space satellites@ generators@ nuclear batteries@ nuclear research
085,At,Atstatine,(210),+-1,302,337,-,2.2,-,Corson@ MacKenzie and Serge,USA,1940,treatment of hyperthyroidisms@ electrical and alpha particles.
086,Rn,Radon,(222),0,-71,-61.8,9.72,-,-,F.E. Dorn,Germany,1900,alpha emitters@ decay product of radium@ present in Earth's atmosphere@ therapeutic use
087,Fr,Francium,(223),+1,(27),(677),2.4,0.7,-,Marguerite Perey,France,1939,ores and a decay product of actinum.
088,Ra,Radium,226.0254,+2,700,1140,5,0.9,-,Pierrie and Marie Curie,France,1898,luminous paints@ medical radiotheraphy@ gamma radiation.
089,Ac,Actinium,(227),+3,1050,3200,-,1.1,1.69,Andre Debierne,France,1899,source of alpha rays@ found in uranium ores.
090,Th,Thorium,232.0381,+4,1750,4790,11.0,1.3,1.65,J.J. Berzellius,Sweden,1828,laboratory crucibles@ photoelectric emitters@ burns in air.
091,Pa,Protactinium,231.0359,(4@5),1600,-,-,1.5,-,Soddy & Cranston of Britain@ Hahn and Meitner,Germany,1917,picthblende (minerals).
092,U,Uranium,238.029,(3@4@5@6),1132,3818,19.05,1.7,1.42,Martin H. Klaproth,Germany,1789,fission reactors and bombs@ breeder reactors@ fuels used in reactors.
093,Np,Neptunium,237.0482,(3@4@5@6),640,3902,-,1.32,-,E.M. McMillian and P. Abelson,USA,1940,nuclear weapons
094,Pu,Plutonium,(244),(3@4@5@6),641,3232,-,1.3,-,G. Seaborg@ McMillian@ Kennedy and Wahl,USA,1940,nuclear weapons@ nuclear reactors@ ores.
095,Am,Americium,(243),(3@4@5@6),994,2607,-,1.3,-,Glenn Seaborg@ Ghiorso & James Morgan,USA,1944,source of gamma radiography@ glass thickness gauge@ source of ionization
096,Cm,Curium,(247),+3,1340,-,-,-,-,Glenn Seaborg@ James Morgan & Ghiorso,USA,1944,power source and source of alpha particles.
097,Bk,Berkelium,(247),(3@4),-,-,-,-,-,Glenn T. Seaborg@ S.G. Thompson and A. Ghiorso,USA,1949,source of alpha particles.
